key,value,category,audience
amenity,restaurant,gastronomy,mixed
amenity,cafe,gastronomy,mixed
amenity,bar,gastronomy,mixed
amenity,pub,gastronomy,mixed
amenity,fast_food,gastronomy,mixed
amenity,food_court,gastronomy,mixed
amenity,biergarten,gastronomy,mixed
amenity,ice_cream,gastronomy,tourist
amenity,pharmacy,health,everyday
amenity,doctors,health,everyday
amenity,dentist,health,everyday
amenity,clinic,health,everyday
amenity,hospital,health,everyday
amenity,veterinary,health,everyday
amenity,nursing_home,health,everyday
amenity,school,education,everyday
amenity,kindergarten,education,everyday
amenity,childcare,education,everyday
amenity,college,education,everyday
amenity,university,education,everyday
amenity,library,education,everyday
amenity,language_school,education,everyday
amenity,driving_school,education,everyday
amenity,music_school,education,everyday
amenity,post_office,public_admin,everyday
amenity,post_box,public_admin,everyday
amenity,townhall,public_admin,everyday
amenity,police,public_admin,everyday
amenity,fire_station,public_admin,everyday
amenity,courthouse,public_admin,everyday
amenity,community_centre,public_admin,everyday
amenity,social_facility,public_admin,everyday
amenity,recycling,public_admin,everyday
amenity,bus_station,public_admin,mixed
amenity,toilets,public_admin,tourist
amenity,drinking_water,public_admin,mixed
amenity,bank,finance,everyday
amenity,atm,finance,mixed
amenity,bureau_de_change,finance,tourist
amenity,theatre,culture,mixed
amenity,cinema,culture,mixed
amenity,arts_centre,culture,mixed
amenity,nightclub,culture,mixed
amenity,casino,culture,tourist
amenity,fountain,culture,tourist
amenity,exhibition_centre,culture,tourist
amenity,place_of_worship,religion,mixed
amenity,monastery,religion,tourist
amenity,parking,parking,mixed
amenity,bicycle_parking,parking,everyday
amenity,motorcycle_parking,parking,everyday
amenity,parking_entrance,parking,mixed
amenity,bicycle_rental,personal_services,tourist
amenity,car_rental,personal_services,tourist
amenity,car_wash,personal_services,everyday
amenity,car_sharing,personal_services,everyday
amenity,fuel,personal_services,everyday
amenity,charging_station,personal_services,mixed
amenity,taxi,personal_services,mixed
amenity,marketplace,food_daily,mixed
amenity,vending_machine,retail_other,mixed
amenity,studio,office,mixed
amenity,conference_centre,office,mixed
amenity,bench,other,mixed
amenity,waste_basket,other,mixed
amenity,shelter,other,mixed
amenity,clock,other,mixed
amenity,telephone,other,mixed
